#interpro;categorie_libelle;categorie_code;genre_libelle;genre_code;denomination_libelle;denomination_code;mention_libelle;mention_code;lieu_libelle;lieu_code;couleur_libelle;couleur_code;cepage_libelle;cepage_code;departements;douane_code;douane_libelle;douane_taxe;douane_date;douane_noeud;cvo_taxe;cvo_date;cvo_noeud;repli_entree;repli_sorti;declassement_entree;declassement_sorti;densite;labels;code_produit;code_produit_noeud;code_analytique;code_comptable_noeud;code_douane;code_douane_noeud;alias_produit
inter-loire;AOC;AOC;;TRANQ;Muscadet Sèvre et Maine;MUSSM;Sur lie;LIE;;;Blanc;3;Melon;MEL;;L625;Vins Tranquilles;3;;G;4,5;;G;;;;;;;1051;cepage;9950;cepage;1B23001;cepage;
inter-loire;AOC;AOC;;TRANQ;Quarts de Chaume;QDC;;;;;Blanc moelleux;3;Chenin;CHE;;L625;Vins Tranquilles;3;;G;6;;A;;;;;;;111;cepage;9110;cepage;1B214L;cepage;
inter-loire;AOC;AOC;;TRANQ;Rosé d'Anjou;RAJ;;;;;Rosé;2;;;;L625;Vins Tranquilles;3;;G;4,5;;A;;;;;;;123;cepage;9120;cepage;1S200D;cepage;1S200D03
inter-loire;AOC;AOC;;TRANQ;Rosé de Loire;RLO;;;;;Rosé;2;;;;L625;Vins Tranquilles;3;;G;4,5;;A;;;;;;;413;cepage;9410;cepage;1S209S;cepage;
inter-loire;AOC;AOC;;TRANQ;Saumur;SAU;;;;;Blanc;3;Chenin;CHE;;L625;Vins Tranquilles;3;;G;4,2;;CO;;;;;;;151;cepage;9150;cepage;1B206;cepage;
inter-loire;AOC;AOC;;TRANQ;Saumur;SAU;;;Puy-Notre-Dame;PND;Rouge;1;;;;L625;Vins Tranquilles;3;;G;4;;L;;;;;;;152;cepage;9240;cepage;1R189S;cepage;
inter-loire;AOC;AOC;;TRANQ;Saumur;SAU;;;Champigny;CHA;Rouge;1;;;;L625;Vins Tranquilles;3;;G;4;;L;;;;;;;162;cepage;9160;cepage;1R208;cepage;
inter-loire;AOC;AOC;EFF;EFF;Saumur;SAU;;;;;Blanc;3;;;;L620;Vins Mousseux;4;;G;3,8;;A;;;;;;;174;cepage;9170;cepage;1B205M;cepage;1S205M
inter-loire;AOC;AOC;;TRANQ;Saumur;SAU;;;;;Rouge;1;;;;L625;Vins Tranquilles;3;;G;4,5;;CO;;;;;;;182;cepage;9180;cepage;1R206S;cepage;
inter-loire;AOC;AOC;;TRANQ;Savennières;SAV;;;;;Blanc;3;Chenin;CHE;;L625;Vins Tranquilles;3;;G;4,5;;G;;;;;;;141;cepage;9140;cepage;1B216S;cepage;1B216L|1B216S01|1B216L01
inter-loire;AOC;AOC;;TRANQ;Savennières;SAV;;;Roche aux moines;RAM;Blanc;3;Chenin;CHE;;L625;Vins Tranquilles;3;;G;4,5;;G;;;;;;;651;cepage;9250;cepage;1B216S02;cepage;1B216L02
inter-loire;AOC;AOC;;TRANQ;St Nicolas de Bourgueil;STN;;;;;Rouge;1;Cabernet Franc;CBF;;L625;Vins Tranquilles;3;;G;3,79;;A;;;;;;;602;cepage;9600;cepage;1R221S;cepage;
inter-loire;AOC;AOC;;TRANQ;St Nicolas de Bourgueil;STN;;;;;Rosé;2;Cabernet Franc;CBF;;L625;Vins Tranquilles;3;;G;3,79;;A;;;;;;;603;cepage;9600;cepage;1S221S;cepage;
inter-loire;AOC;AOC;;TRANQ;Touraine;TOU;;;;;Blanc;3;;;;L625;Vins Tranquilles;3;;G;4;;A;;;;;;;511;cepage;9500;cepage;1B235S;cepage;
inter-loire;AOC;AOC;;TRANQ;Touraine;TOU;;;;;Rouge;1;;;;L625;Vins Tranquilles;3;;G;4;;A;;;;;;;512;cepage;9500;cepage;1R235S;cepage;
inter-loire;AOC;AOC;;TRANQ;Touraine;TOU;;;;;Rosé;2;;;;L625;Vins Tranquilles;3;;G;4;;A;;;;;;;513;cepage;9500;cepage;1S235S;cepage;
inter-loire;AOC;AOC;EFF;EFF;Touraine;TOU;;;;;Blanc;3;;;;L620;Vins Mousseux;4;;G;4;;G;;;;;;;514;cepage;9500;cepage;1B235M;cepage;1B235P|1S235P|1S235M|1R234M
inter-loire;AOC;AOC;;TRANQ;Touraine;TOU;Primeur;PRI;;;Rouge;1;;;;L625;Vins Tranquilles;3;;G;4;;A;;;;;;;522;cepage;9500;cepage;1R235S01;cepage;
inter-loire;AOC;AOC;;TRANQ;Touraine;TOU;Primeur;PRI;;;Rosé;2;;;;L625;Vins Tranquilles;3;;G;4;;A;;;;;;;523;cepage;9500;cepage;1S235S01;cepage;
inter-loire;AOC;AOC;;TRANQ;Touraine;TOU;;;Amboise;AMB;Blanc;3;Chenin;CHE;;L625;Vins Tranquilles;3;;G;4;;A;;;;;;;531;cepage;9530;cepage;1B236;cepage;
inter-loire;AOC;AOC;;TRANQ;Touraine;TOU;;;Amboise;AMB;Rouge;1;;;;L625;Vins Tranquilles;3;;G;4;;A;;;;;;;532;cepage;9530;cepage;1R236S;cepage;
inter-loire;AOC;AOC;;TRANQ;Touraine;TOU;;;Amboise;AMB;Rosé;2;;;;L625;Vins Tranquilles;3;;G;4;;A;;;;;;;533;cepage;9530;cepage;1S236;cepage;
inter-loire;AOC;AOC;;TRANQ;Touraine;TOU;;;Azay-le-rideau;ALR;Blanc;3;Chenin;CHE;;L625;Vins Tranquilles;3;;G;4,5;;L;;;;;;;541;cepage;9540;cepage;1B237;cepage;
inter-loire;AOC;AOC;;TRANQ;Touraine;TOU;;;Azay-le-rideau;ALR;Rosé;2;;;;L625;Vins Tranquilles;3;;G;4,5;;L;;;;;;;543;cepage;9540;cepage;1S237S;cepage;
inter-loire;AOC;AOC;;TRANQ;Touraine;TOU;;;Mesland;MES;Blanc;3;Chenin;CHE;;L625;Vins Tranquilles;3;;G;3,8;;L;;;;;;;551;cepage;9550;cepage;1B238;cepage;
inter-loire;AOC;AOC;;TRANQ;Touraine;TOU;;;Mesland;MES;Rouge;1;;;;L625;Vins Tranquilles;3;;G;3,8;;L;;;;;;;552;cepage;9550;cepage;1R238S;cepage;
inter-loire;AOC;AOC;;TRANQ;Touraine;TOU;;;Mesland;MES;Rosé;2;;;;L625;Vins Tranquilles;3;;G;3,8;;L;;;;;;;553;cepage;9550;cepage;1S238;cepage;
inter-loire;AOC;AOC;;TRANQ;Touraine;TOU;;;Noble Joué;NJO;Rosé;2;;;;L625;Vins Tranquilles;3;;G;3,74;;L;;;;;;;493;cepage;9610;cepage;1S239;cepage;
inter-loire;AOC;AOC;;TRANQ;Touraine;TOU;;;Chenonceaux;CHE;Blanc;3;Sauvignon;SAUB;;L625;Vins Tranquilles;3;;G;4;;A;;;;;;;631;cepage;9650;cepage;1B705S;cepage;
inter-loire;AOC;AOC;;TRANQ;Touraine;TOU;;;Chenonceaux;CHE;Rouge;1;;;;L625;Vins Tranquilles;3;;G;4;;A;;;;;;;632;cepage;9650;cepage;1R705S;cepage;
inter-loire;AOC;AOC;;TRANQ;Touraine;TOU;;;Oisly;OIS;Blanc;3;Sauvignon Blanc;SAUB;;L625;Vins Tranquilles;3;;G;4;;A;;;;;;;641;cepage;9640;cepage;1B704S;cepage;
inter-loire;AOC;AOC;;TRANQ;Vouvray;VOU;;;;;Blanc;3;;;;L625;Vins Tranquilles;3;;G;4;;A;;;;;;;571;cepage;9570;cepage;1B226;cepage;
inter-loire;AOC;AOC;EFF;EFF;Vouvray;VOU;;;;;Blanc;3;;;;L620;Vins Mousseux;4;;G;4;;G;;;;;;;574;cepage;9570;cepage;1B226M;cepage;1B226P
inter-loire;IGP;IGP;;TRANQ;Val de Loire;VAL;;;;;Blanc;3;;;;L625;Vins Tranquilles;3;;G;0;;CE;;;;;;;;;;;3B009;;
inter-loire;IGP;IGP;;TRANQ;Val de Loire;VAL;;;;;Rosé;2;;;;L625;Vins Tranquilles;3;;G;0;;CE;;;;;;;;;;;3S009;;
