"COD_CEP";"LIB_CEP";"COU_CEP";"DAT_DER_MAJ";"COD_CATCEP";"COD_CEP_P";"INDIC_EXPCEP";"COD_TYPDEST_CEP"
"2097";"CARCAJOLO BLANC B";"1";"";"G";"";"N";"CUVE"
"2101";"CARIGNAN BOUSCH.N";"2";"";"G";"";"N";"CUVE"
"2103";"CARMENERE N";"2";"";"G";"";"N";"CUVE"
"2105";"CASTETS N";"2";"";"G";"";"N";"CUVE"
"2107";"CEP ROUGE N";"2";"";"G";"";"N";"CUVE"
"2111";"CESAR N";"2";"";"G";"";"N";"CUVE"
"2117";"CHAOUCH ROSE RS";"3";"";"G";"";"N";"CUVE"
"2121";"CHATUS N";"2";"";"G";"";"N";"CUVE"
"2125";"CLAVERIE B";"1";"";"G";"";"N";"CUVE"
"2127";"BOUTEILLAN BLANC B";"1";"";"G";"";"N";"CUVE"
"2131";"CORBEAU N";"2";"";"G";"";"N";"CUVE"
"2133";"CORNICHON BLANC ";"";"18/05/2009 10:23:45";"G";"";"";""
"2135";"CORNICHON VIOLET N";"2";"";"G";"";"N";"CUVE"
"2137";"COT DE CHERAGAS N";"2";"";"G";"";"N";"CUVE"
"2141";"COURBU B";"1";"";"G";"";"N";"CUVE"
"2143";"DURAS N";"2";"";"G";"";"N";"CUVE"
"2145";"DUREZA N";"2";"";"G";"";"N";"CUVE"
"2147";"DURIF N";"2";"";"G";"";"N";"CUVE"
"2151";"ELBLING B";"1";"";"G";"";"N";"CUVE"
"2155";"ENFARINE N";"2";"";"G";"";"N";"CUVE"
"2157";"ESPANENC";"1";"19/08/2009 16:52:57";"G";"";"N";"CUVE"
"2161";"ETRAIRE D.LA DUI N";"2";"";"G";"";"N";"CUVE"
"2163";"FARANAH B";"1";"";"G";"";"N";"CUVE"
"2165";"FER N";"2";"";"G";"";"N";"CUVE"
"2166";"FERRADOU N";"2";"21/01/2011 16:43:45";"G";"";"";"CUVE"
"2167";"FEUNATE N";"2";"";"G";"";"N";"CUVE"
"2171";"FUELLA NERA N";"2";"";"G";"";"N";"CUVE"
"2173";"FRANC N.HTE.SAO. N";"2";"";"G";"";"N";"CUVE"
"2175";"BACHET N";"2";"";"G";"";"N";"CUVE"
"2177";"ABONDANCE N";"2";"";"G";"";"N";"CUVE"
"2181";"GAMAY PRECOCE N";"2";"";"G";"";"N";"CUVE"
"2183";"GARBESSO B";"1";"";"G";"";"N";"CUVE"
"2185";"GASCON N";"2";"";"G";"";"N";"CUVE"
"2187";"GENOVESE B";"1";"";"G";"";"N";"CUVE"
"2191";"GIBERT N";"2";"";"G";"";"N";"CUVE"
"2193";"GOLDRIESLING B";"1";"";"G";"";"N";"CUVE"
"2195";"GOUAIS B";"1";"";"G";"";"N";"CUVE"
"2201";"GOUGET N";"2";"";"G";"";"N";"CUVE"
"2211";"GREC RS";"3";"";"G";"";"N";"CUVE"
"2213";"GENOUILLET N";"2";"";"G";"";"N";"CUVE"
"2215";"GROS BEC N";"2";"";"G";"";"N";"CUVE"
"2223";"DOBRELABI N";"2";"";"G";"";"N";"CUVE"
"2225";"GLACIERE RG";"5";"";"G";"";"N";"CUVE"
"2231";"GUEUCHE N";"2";"";"G";"";"N";"CUVE"
"2233";"GUILLEMOT B";"1";"";"G";"";"N";"CUVE"
"2237";"HIBOU N";"2";"";"G";"";"N";"CUVE"
"2240";"INRA 83-81 N";"2";"27/03/2006 09:33:21";"G";"";"";"CUVE"
"2245";"JOUBERTIN N";"2";"";"G";"";"N";"CUVE"
"2247";"KNIPPERLE B";"1";"";"G";"";"N";"CUVE"
"2251";"LIMBERGER N";"2";"";"G";"";"N";"CUVE"
"2253";"LAUZET B";"1";"";"G";"";"N";"CUVE"
"2255";"LASCA N";"2";"";"G";"";"N";"CUVE"
"2257";"LEN DE L'EL B";"1";"";"G";"";"N";"CUVE"
"2261";"LIGNAGE N";"2";"";"G";"";"N";"CUVE"
"2263";"LISTAN B";"1";"";"G";"";"N";"CUVE"
"2271";"MANCIN N";"2";"";"G";"";"N";"CUVE"
"2277";"MANSONNET N";"2";"";"G";"";"N";"CUVE"
"2281";"MAROCAIN NOIR N";"2";"";"G";"";"N";"CUVE"
"2283";"MILGRANET N";"2";"";"G";"";"N";"CUVE"
"2285";"MOLETTE B";"1";"";"G";"";"N";"CUVE"
"2287";"MOLINERA GORDA RG";"5";"";"G";"";"N";"CUVE"
"2291";"MOLLARD N";"2";"";"G";"";"N";"CUVE"
"2293";"MONTILS B";"1";"";"G";"";"N";"CUVE"
"2295";"MORNEN N";"2";"";"G";"";"N";"CUVE"
"2297";"MORRASTEL N";"2";"";"G";"";"N";"CUVE"
"2303";"MOURVAISON N";"2";"";"G";"";"N";"CUVE"
"2305";"MOURVEDRE N";"2";"";"G";"";"N";"CUVE"
"2311";"MOUYSSAGUES N";"2";"";"G";"";"N";"CUVE"
"2313";"MULLER THURGAU B";"1";"";"G";"";"N";"CUVE"
"2315";"MUSCARDIN N";"2";"";"G";"";"N";"CUVE"
"2316";"MUSCAT CENDRE B";"";"23/01/2009 16:20:17";"G";"";"";"CUVE"
"2319";"NEGRET BANHARS N";"";"23/01/2009 16:15:25";"G";"";"";"CUVE"
"2323";"NIELLUCCIO N";"2";"";"G";"";"N";"CUVE"
"2325";"NOIR FLEURIEN N";"2";"";"G";"";"N";"CUVE"
"2327";"NOIR HAT.MARSEIL.N";"2";"";"G";"";"N";"CUVE"
"2331";"NOUAL B";"1";"";"G";"";"N";"CUVE"
"2333";"OEILLADE BOUSCHE.N";"2";"";"G";"";"N";"CUVE"
"2337";"PAGADEBITI B";"1";"";"G";"";"N";"CUVE"
"2341";"PARDOTTE N";"2";"";"G";"";"N";"CUVE"
"2343";"PASCAL B";"1";"";"G";"";"N";"CUVE"
"2345";"PEDRO XIMENEZ B";"1";"22/06/2007 10:26:12";"G";"";"";"CUVE"
"2351";"PELOURSIN N";"2";"";"G";"";"N";"CUVE"
"2353";"PERSAN N";"2";"";"G";"";"N";"CUVE"
"2355";"RIBIER N";"2";"";"G";"";"N";"CUVE"
"2361";"PEURION B";"1";"";"G";"";"N";"CUVE"
"2363";"PICARDAN BLANC";"1";"12/04/2006 14:33:06";"G";"";"N";"CUVE"
"2364";"PICARDAN NOIR";"2";"12/04/2006 14:33:06";"G";"";"";"CUVE"
"2370";"PLANT DE BRUNEL";"";"22/01/2010 17:18:02";"G";"";"";"CUVE"
"2371";"COUSTON N";"";"20/05/2010 17:18:08";"G";"";"";"CUVE"
"2373";"PLANT DROIT N";"2";"";"G";"";"N";"CUVE"
"2381";"POUGNET N";"2";"";"G";"";"N";"CUVE"
"2383";"PRECOCE BOUSQUET B";"1";"";"G";"";"N";"CUVE"
"2385";"PROVAREAU N";"2";"";"G";"";"N";"CUVE"
"2387";"PRUNELARD N";"2";"";"G";"";"N";"CUVE"
"2391";"PUTZSCHEERE B";"1";"";"G";"";"N";"CUVE"
"2393";"RAFFIAT MONCADE B";"1";"";"G";"";"N";"CUVE"
"2395";"RAISAINE B";"1";"";"G";"";"N";"CUVE"
"2397";"RAUSCHLING B";"1";"";"G";"";"N";"CUVE"
"2403";"RIESLING B";"1";"";"G";"";"N";"CUVE"
"2405";"RIMINESE B";"1";"";"G";"";"N";"CUVE"
"2408";"RIVAIRENC BLANC B";"";"23/01/2009 16:24:56";"G";"";"";"CUVE"
"2409";"RIVAIRENC GRIS G";"";"23/01/2009 16:24:56";"G";"";"";"CUVE"
"2410";"RIVAIRENC N";"2";"21/01/2011 17:05:54";"G";"";"";"CUVE"
"2411";"ROMORANTIN B";"1";"";"G";"";"N";"CUVE"
"2413";"ROUBLOT B";"1";"";"G";"";"N";"CUVE"
"2415";"ROUSSANNE B";"1";"";"G";"";"N";"CUVE"
"2417";"SACY B";"1";"";"G";"";"N";"CUVE"
"2419";"ROUSSANNE VAR RS";"3";"";"G";"";"N";"CUVE"
"2420";"SAINT COME B";"";"23/01/2009 16:25:51";"G";"";"";"CUVE"
"2421";"SAINT MACAIRE N";"2";"";"G";"";"N";"CUVE"
"2423";"ST.PIERRE DORE B";"1";"";"G";"";"N";"CUVE"
"2425";"SELECT B";"1";"";"G";"";"N";"CUVE"
"2431";"SCIACCARELLO N";"2";"";"G";"";"N";"CUVE"
"2435";"SERVANIN N";"2";"";"G";"";"N";"CUVE"
"2437";"SYLVANER B";"1";"";"G";"";"N";"CUVE"
"2441";"TEINTURIER N";"2";"";"G";"";"N";"CUVE"
