#interpro;categorie_libelle;categorie_code;genre_libelle;genre_code;denomination_libelle;denomination_code;mention_libelle;mention_code;lieu_libelle;lieu_code;couleur_libelle;couleur_code;cepage_libelle;cepage_code;departements;douane_code;douane_libelle;douane_taxe;douane_date;douane_noeud;cvo_taxe;cvo_date;cvo_noeud;repli_entree;repli_sorti;declassement_entree;declassement_sorti;densite;labels;code_produit;code_produit_noeud;code_analytique;code_comptable_noeud;code_douane;code_douane_noeud;alias_produit;format_libelle;format_libelle_noeud;cepages autorises
declaration;IGP;IGP_VALDELOIRE;Tranquille;TRANQ;Val de Loire;VAL;;;;;Rosé  ;rose;Abouriou  ;ABO;;;Vins Tranquilles;3.77 ;2016-01-01;genres;0;2016-01-01;;;;;;;;;;;;3S009 35  ;cepage;;%c% %a% %co% %ce%;cepage;
declaration;IGP;IGP_VALDELOIRE;Tranquille;TRANQ;Val de Loire;VAL;;;;;Rosé  ;rose;Pineau d'Aunis  ;PINAU;;;Vins Tranquilles;3.77 ;2016-01-01;genres;0;2016-01-01;;;;;;;;;;;;3S009 58  ;cepage;;%c% %a% %co% %ce%;cepage;
declaration;IGP;IGP_VALDELOIRE;Tranquille;TRANQ;Val de Loire;VAL;;;;;Rouge  ;rouge;;;;;Vins Tranquilles;3.77 ;2016-01-01;genres;0;2016-01-01;;;;;;;;;;;;3R009  ;cepage;;%c% %a% %co% %ce%;cepage;
declaration;IGP;IGP_VALDELOIRE;Tranquille;TRANQ;Val de Loire;VAL;;;;;Rouge  ;rouge;Multi cépage  ;MULTI;;;Vins Tranquilles;3.77 ;2016-01-01;genres;0;2016-01-01;;;;;;;;;;;;3R009 00  ;cepage;;%c% %a% %co% %ce%;cepage;
declaration;IGP;IGP_VALDELOIRE;Tranquille;TRANQ;Val de Loire;VAL;;;;;Rouge  ;rouge;Pinot noir  ;PIN;;;Vins Tranquilles;3.77 ;2016-01-01;genres;0;2016-01-01;;;;;;;;;;;;3R009 AB  ;cepage;;%c% %a% %co% %ce%;cepage;
declaration;IGP;IGP_VALDELOIRE;Tranquille;TRANQ;Val de Loire;VAL;;;;;Rouge  ;rouge;Cabernet franc  ;CBF;;;Vins Tranquilles;3.77 ;2016-01-01;genres;0;2016-01-01;;;;;;;;;;;;3R009 BW  ;cepage;;%c% %a% %co% %ce%;cepage;
declaration;IGP;IGP_VALDELOIRE;Tranquille;TRANQ;Val de Loire;VAL;;;;;Rouge  ;rouge;Cabernet sauvignon  ;CBS;;;Vins Tranquilles;3.77 ;2016-01-01;genres;0;2016-01-01;;;;;;;;;;;;3R009 B  ;cepage;;%c% %a% %co% %ce%;cepage;
declaration;IGP;IGP_VALDELOIRE;Tranquille;TRANQ;Val de Loire;VAL;;;;;Rouge  ;rouge;Gamay noir  ;GAM;;;Vins Tranquilles;3.77 ;2016-01-01;genres;0;2016-01-01;;;;;;;;;;;;3R009 CM  ;cepage;;%c% %a% %co% %ce%;cepage;
declaration;IGP;IGP_VALDELOIRE;Tranquille;TRANQ;Val de Loire;VAL;;;;;Rouge  ;rouge;Grolleau noir  ;GRO;;;Vins Tranquilles;3.77 ;2016-01-01;genres;0;2016-01-01;;;;;;;;;;;;3R009 CT  ;cepage;;%c% %a% %co% %ce%;cepage;
declaration;IGP;IGP_VALDELOIRE;Tranquille;TRANQ;Val de Loire;VAL;;;;;Rouge  ;rouge;Cot  ;COT;;;Vins Tranquilles;3.77 ;2016-01-01;genres;0;2016-01-01;;;;;;;;;;;;3R009 CZ  ;cepage;;%c% %a% %co% %ce%;cepage;
declaration;IGP;IGP_VALDELOIRE;Tranquille;TRANQ;Val de Loire;VAL;;;;;Rouge  ;rouge;Merlot  ;MERL;;;Vins Tranquilles;3.77 ;2016-01-01;genres;0;2016-01-01;;;;;;;;;;;;3R009 DE  ;cepage;;%c% %a% %co% %ce%;cepage;
declaration;IGP;IGP_VALDELOIRE;Tranquille;TRANQ;Val de Loire;VAL;;;;;Rouge  ;rouge;Abouriou  ;ABO;;;Vins Tranquilles;3.77 ;2016-01-01;genres;0;2016-01-01;;;;;;;;;;;;3R009 35  ;cepage;;%c% %a% %co% %ce%;cepage;
declaration;IGP;IGP_VALDELOIRE;Tranquille;TRANQ;Val de Loire;VAL;;;;;Rouge  ;rouge;Pineau d'Aunis  ;PINAU;;;Vins Tranquilles;3.77 ;2016-01-01;genres;0;2016-01-01;;;;;;;;;;;;3R009 58  ;cepage;;%c% %a% %co% %ce%;cepage;
