CERTIFICATION,GENRE,APPELLATION,MENTION,LIEU,COULEUR,CEPAGE,LIBELLE_PRODUIT,IDENTIFIANT INAO
AOC,,AOC Alsace Grand Cru,,Kastelberg,,Riesling,AOC Alsace Grand Cru Kastelberg Riesling,1B019S 4
AOC,,AOC Alsace Grand Cru,,Kastelberg,,Pinot Gris,AOC Alsace Grand Cru Kastelberg Pinot Gris,1B019S 3
AOC,,AOC Alsace Grand Cru,,Kastelberg,,Muscat,AOC Alsace Grand Cru Kastelberg Muscat,1B019S 2
AOC,,AOC Alsace Grand Cru,,Kastelberg,,Gewurztraminer,AOC Alsace Grand Cru Kastelberg Gewurztraminer,1B019S 1
AOC,,AOC Alsace Grand Cru,,Kessler,,Riesling,AOC Alsace Grand Cru Kessler Riesling,1B020S 4
AOC,,AOC Alsace Grand Cru,,Kessler,,Pinot Gris,AOC Alsace Grand Cru Kessler Pinot Gris,1B020S 3
AOC,,AOC Alsace Grand Cru,,Kessler,,Muscat,AOC Alsace Grand Cru Kessler Muscat,1B020S 2
AOC,,AOC Alsace Grand Cru,,Kessler,,Gewurztraminer,AOC Alsace Grand Cru Kessler Gewurztraminer,1B020S 1
AOC,,AOC Alsace Grand Cru,,Kirchberg de Barr,,Riesling,AOC Alsace Grand Cru Kirchberg de Barr Riesling,1B021S 4
AOC,,AOC Alsace Grand Cru,,Kirchberg de Barr,,Pinot Gris,AOC Alsace Grand Cru Kirchberg de Barr Pinot Gris,1B021S 3
AOC,,AOC Alsace Grand Cru,,Kirchberg de Barr,,Muscat,AOC Alsace Grand Cru Kirchberg de Barr Muscat,1B021S 2
AOC,,AOC Alsace Grand Cru,,Kirchberg de Barr,,Gewurztraminer,AOC Alsace Grand Cru Kirchberg de Barr Gewurztraminer,1B021S 1
AOC,,AOC Alsace Grand Cru,,Kirchberg de Ribeauvillé,,Riesling,AOC Alsace Grand Cru Kirchberg de Ribeauvillé Riesling,1B022S 4
AOC,,AOC Alsace Grand Cru,,Kirchberg de Ribeauvillé,,Pinot Gris,AOC Alsace Grand Cru Kirchberg de Ribeauvillé Pinot Gris,1B022S 3
AOC,,AOC Alsace Grand Cru,,Kirchberg de Ribeauvillé,,Muscat,AOC Alsace Grand Cru Kirchberg de Ribeauvillé Muscat,1B022S 2
