#interpro;categorie_libelle;categorie_code;genre_libelle;genre_code;denomination_libelle;denomination_code;mention_libelle;mention_code;lieu_libelle;lieu_code;couleur_libelle;couleur_code;cepage_libelle;cepage_code;departements;douane_code;douane_libelle;douane_taxe;douane_date;douane_noeud;cvo_taxe;cvo_date;cvo_noeud;repli_entree;repli_sorti;declassement_entree;declassement_sorti;densite;labels;code_produit;code_produit_noeud;code_analytique;code_comptable_noeud;code_douane;code_douane_noeud;alias_produit;format_libelle_noeud;format_libelle_noeud
inter-loire;AOC;AOC_HORSINTERLOIRE/AOC;;TRANQ;Fiefs vendéens;FVD;;;;;Blanc;3;;;;L387;Vins Tranquilles;3,75;2015-08-01;G;-1;2015-08-01;C;;;;;;;4010;cepage;9990;cepage;;cepage;;%g% %a% %l% %co% %m%;certification
inter-loire;AOC;AOC_HORSINTERLOIRE/AOC;;TRANQ;Fiefs vendéens;FVD;;;;;Rouge;1;;;;L387;Vins Tranquilles;3,75;2015-08-01;G;-1;2015-08-01;C;;;;;;;4020;cepage;9990;cepage;;cepage;;%g% %a% %l% %co% %m%;certification
inter-loire;AOC;AOC_HORSINTERLOIRE/AOC;;TRANQ;Fiefs vendéens;FVD;;;;;Rosé;2;;;;L387;Vins Tranquilles;3,75;2015-08-01;G;-1;2015-08-01;C;;;;;;;4030;cepage;9990;cepage;;cepage;;%g% %a% %l% %co% %m%;certification
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Gros plant;GPL;;;;;Blanc;3;Folle blanche;FBL;;L387;Vins Tranquilles;3,75;2015-08-01;G;4;;A;;;;;;;2000;cepage;9960;cepage;2058B;cepage;;%g% %a% %l% %m%;certification
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Gros plant;GPL;Sur lie;LIE;;;Blanc;3;Folle blanche;FBL;;L387;Vins Tranquilles;3,75;2015-08-01;G;4;;A;;;;;;;2001;cepage;9970;cepage;2058BSL;cepage;;%g% %a% %l% %m%;certification
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Jasnières;JAS;;;;;Blanc;3;Chenin;CHE;;L387;Vins Tranquilles;3,75;2015-08-01;G;4;;A;;;;;;;621;cepage;9620;cepage;1B224;cepage;;%g% %a% %l% %m%;certification
inter-loire;AOC;AOC_HORSINTERLOIRE/AOC;;TRANQ;Montlouis sur Loire;MLL;;;;;Blanc;3;Chenin;CHE;;L387;Vins Tranquilles;3,75;2015-08-01;G;-1;2015-08-01;C;;;;;;;561;cepage;9560;cepage;1B225;cepage;;%g% %a% %l% %m%;appellation
inter-loire;AOC;AOC_HORSINTERLOIRE/AOC;Fines bulles;EFF;Montlouis sur Loire;MLL;;;;;Blanc;3;Chenin;CHE;;L385;Vins Mousseux;9,29;2015-08-01;G;-1;2015-08-01;C;;;;;;;564;cepage;9560;cepage;1B225M;cepage;1B225P;%a% %g% %l% %co% %m%;genre
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Muscadet AC;MUSAC;;;;;Blanc;3;Melon;MEL;;L387;Vins Tranquilles;3,75;2015-08-01;G;4;2013-08-01;A;;;;;;;1040;cepage;9940;cepage;1B228;cepage;;%g% %a% %l% %m%;certification
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Muscadet AC;MUSAC;Sur lie;LIE;;;Blanc;3;Melon;MEL;;L387;Vins Tranquilles;3,75;2015-08-01;G;4;2013-08-01;A;;;;;;;1041;cepage;9950;cepage;1B22801;cepage;;%g% %a% %l% %m%;certification
